Altium Designer Pick and Place Locations
C:\Users\Stason\Desktop\Projects\salt-energy\solr-power-station\altium\solr-controller-base\.\Fabrication Files\Pick Place\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       31.01.25
Time:       17:15
Revision:   1fce7b8624936f8869e3b0de2083cd91fc260b6f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R12","10 kOhms","TopLayer","RES_0805_2012","34.3500","13.6750","90","RES SMD 10K OHM 0.5% 1/8W 0805"
"P1","Header 2","TopLayer","My_1X02","37.2500","12.7700","90","Header, 2-Pin"
"R11","1 kOhms","TopLayer","RES_0805_2012","14.9050","12.0000","90","RES SMD 1K OHM 1% 1/8W 0805"
"R10","1 kOhms","TopLayer","RES_0805_2012","70.7500","39.9320","270","RES SMD 1K OHM 1% 1/8W 0805"
"D9","Red","TopLayer","LED_0805_2012_RED","17.3550","12.0000","90","LED RED CLEAR 0805 SMD"
"D8","Red","TopLayer","LED_0805_2012_RED","68.3000","39.6000","270","LED RED CLEAR 0805 SMD"
"U3","ACS712ELCTR30AT","TopLayer","SOIC127P600X175-8N","13.2500","18.7500","270","Current Sensor 30A 1 Channel Hall Effect, Open Loop Bidirectional 8-SOIC (0.154, 3.90mm Width)"
"U2","Arduino Nano","TopLayer","MODULE_ARDUINO_NANO_A000005","61.7500","13.1200","270","ATSAMD21G18A Arduino Nano 33 IoT series ARMA® CortexA®-M0+ MCU 32-Bit Embedded Evaluation Board"
"U1","Buzzer 12mm","TopLayer","My_Buzzer","54.2500","44.2500","90","5-12v small buzzer (12mm)"
"R9","510 Ohms","TopLayer","RES_0805_2012","33.0000","23.5000","360","RES SMD 510 OHM 0.1% 1/8W 0805"
"R8","1 kOhms","TopLayer","RES_0805_2012","33.0000","21.2250","180","RES SMD 1K OHM 1% 1/8W 0805"
"R7","7.5 kOhms","TopLayer","RES_0805_2012","73.7500","32.6250","270","RES SMD 7.5K OHM 0.1% 1/8W 0805"
"R6","30 kOhms","TopLayer","RES_0805_2012","73.7500","28.2500","270","RES SMD 30K OHM 0.1% 1/8W 0805"
"R5","4.7 kOhms","TopLayer","RES_0805_2012","73.8000","58.3750","90","RES SMD 4.7K OHM 1% 1/8W 0805"
"R4","100 Ohms","TopLayer","RES_0805_2012","73.0000","62.7500","0","RES SMD 100 OHM 1% 1/8W 0805"
"R3","1 kOhms","TopLayer","RES_0805_2012","69.5000","46.7500","360","RES SMD 1K OHM 1% 1/8W 0805"
"R2","4.7 kOhms","TopLayer","RES_0805_2012","65.3300","62.7500","180","RES SMD 4.7K OHM 1% 1/8W 0805"
"R1","10 kOhms","TopLayer","RES_0805_2012","64.1000","36.2000","180","RES SMD 10K OHM 0.5% 1/8W 0805"
"Q2","MMSS8050-L-TP","TopLayer","MCCSEMI_SOT-23-3","35.7500","27.2500","90","TRANS NPN 25V 1.5A SOT23"
"Q1","MMSS8050-L-TP","TopLayer","MCCSEMI_SOT-23-3","60.0000","35.7500","180","TRANS NPN 25V 1.5A SOT23"
"K1","SLA-12VDC-SL-C","TopLayer","RELAY_SLA-12VDC-SL-C","32.6500","49.1500","360","SUBMINATURE HIGH POWER RELAY"
"J4","HB9500 300V 30A","TopLayer","TE_5-1437648-7","13.5000","35.0000","270","Connector Barrier Strip 2 Position 8.26mm Screw Straight Cable Mount 25 Amp Contact"
"J3","HB9500 300V 30A","TopLayer","TE_5-1437648-7","80.5000","35.0000","90","Connector Barrier Strip 2 Position 8.26mm Screw Straight Cable Mount 25 Amp Contact"
"J2","B2B-PH-K-S(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","53.9600","58.8000","90","Connector Header Through Hole 2 position 0.098 (2.50mm)"
"J1","B2B-PH-K-S(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","80.5750","58.8000","90","Connector Header Through Hole 2 position 0.098 (2.50mm)"
"Q3","DMG3406L-7","TopLayer","DIODES_SOT-23-3","72.0000","53.2500","0","MOSFET N-CH 30V 3.6A SOT23"
"D7","Red","TopLayer","LED_0805_2012_RED","27.9500","14.0000","360","LED RED CLEAR 0805 SMD"
"D6","LTV-817S-TA","TopLayer","LITEON_LTV-817","28.0000","21.7500","90","OPTOISOLATR 5KV TRANSISTOR 4-SMD"
"D5","LL4148","TopLayer","DIO_LL4148","32.6500","30.7500","360","Diode Standard 100 V 300mA Surface Mount SOD-80 MiniMELF"
"D4","LL4148","TopLayer","DIO_LL4148","71.0000","58.3200","270","Diode Standard 100 V 300mA Surface Mount SOD-80 MiniMELF"
"D3","LTV-817S-TA","TopLayer","LITEON_LTV-817","64.7500","53.5000","90","OPTOISOLATR 5KV TRANSISTOR 4-SMD"
"D2","SS23-TP","TopLayer","DO214AC_SMA","68.7500","29.5000","90","DIODE SCHOTTKY 30V 2A DO214AC"
"D1","LL4148","TopLayer","DIO_LL4148","63.5000","42.5000","270","Diode Standard 100 V 300mA Surface Mount SOD-80 MiniMELF"
"C8","1000 pF","TopLayer","CAP_0805_2012","10.1550","12.0000","90","CAP CER 1000PF 500V X7R 0805"
"C7","0.1µF","TopLayer","CAP_0805_2012","12.6550","12.0000","90","CAP CER 0.1UF 50V Y5V 0805"
"C6","10 µF","TopLayer","CAP_0805_2012","64.0000","28.0500","270","CAP CER 10UF 25V X7S 0805"
"C5","1000 µF","TopLayer","MY_E3.5-10mm","55.4720","28.2500","180","Polar capacitor"
"C4","0.1µF","TopLayer","CAP_0805_2012","61.7500","28.0500","270","CAP CER 0.1UF 50V Y5V 0805"
"C3","10 µF","TopLayer","CAP_0805_2012","48.4500","27.2500","270","CAP CER 10UF 25V X7S 0805"
"C2","100 µF","TopLayer","MY_E2.5-6mm","44.0000","26.5000","180","Polar capacitor"
"C1","0.1µF","TopLayer","CAP_0805_2012","39.5000","25.3000","270","CAP CER 0.1UF 50V Y5V 0805"
